Project,N° Iteration,Classifier,Feature Selection,Sampling,Cost Sensitive,Training %,Precision,Recall,AUC,Kappa,True Positive,False Positive,True Negative,False Negative
storm,11,NaiveBayes,Yes,No,Yes,86.79924412849816,0.011789181692094313,1.0,0.6864908722109534,4.0644089273546524E-4,17.0,1425.0,25.0,0.0
storm,11,IBk,Yes,No,Yes,86.79924412849816,0.06818181818181818,0.35294117647058826,0.773711967545639,0.09674066325483462,6.0,82.0,1368.0,11.0
storm,12,RandomForest,No,No,No,87.92625998892318,0.4,0.19047619047619047,0.8470178769182092,0.25141833383099216,4.0,6.0,1499.0,17.0
storm,12,NaiveBayes,No,No,No,87.92625998892318,0.013972055888223553,1.0,0.7155987976585984,4.269617033915608E-4,21.0,1482.0,23.0,0.0
storm,12,IBk,No,No,No,87.92625998892318,0.3076923076923077,0.19047619047619047,0.837921214997627,0.22716116716662252,4.0,9.0,1496.0,17.0
storm,12,RandomForest,Yes,No,No,87.92625998892318,0.4,0.19047619047619047,0.8648789748457523,0.25141833383099216,4.0,6.0,1499.0,17.0
storm,12,NaiveBayes,Yes,No,No,87.92625998892318,0.0,0.0,0.7375731688024046,0.0,0.0,0.0,1505.0,21.0
storm,12,IBk,Yes,No,No,87.92625998892318,0.3333333333333333,0.19047619047619047,0.8388229710488847,0.23476551530469164,4.0,8.0,1497.0,17.0
storm,12,RandomForest,Yes,SMOTE,No,88.27506723011909,0.23076923076923078,0.14285714285714285,0.8186995728523968,0.16771202617943845,3.0,10.0,1495.0,18.0
storm,12,NaiveBayes,Yes,SMOTE,No,88.27506723011909,0.0,0.0,0.7079576016453093,0.0,0.0,0.0,1505.0,21.0
storm,12,IBk,Yes,SMOTE,No,88.27506723011909,0.23076923076923078,0.14285714285714285,0.826498971681696,0.16771202617943845,3.0,10.0,1495.0,18.0
storm,12,RandomForest,Yes,UnderSampling,No,87.92625998892318,0.03881278538812785,0.8095238095238095,0.793766809049201,0.049099903524437105,17.0,421.0,1084.0,4.0
